,Product Name,Brand Name,Price,Rating,Reviews,Review Votes
6717,"Apple Iphone 4 - 8gb Sprint (CDMA) White, Smartphone, in box with all the accessories, clean esn!!",,,1,Item did not work,0.0
294306,"POSH MOBILE ICON ANDROID UNLOCKED DUAL SIM 5.0"" GSM SMARTPHONE with soft metallic design, FULL-sized display, 5MP Camera and 4GB of Storage (MODEL # S510 GOLD)",Posh Mobile,62.4,1,"On the surface, it seemed as though it would work. Nice screen, initially booted up until I tried to call it. This product never did work for me. I tried it several times with existing SIM card and new SIM cards even multiple carriers (AT&T and Verizon). Then it even eventually stopped booting up. Not a worthy product of purchase whatsoever -- a real waste of the money spent. By the time I threw in the towel and tried to return it, I got the message ""time for returning this item has expired"" by one day. I wish I had paid closer attention to the small print saying that I had a limited time to return the product. I would not recommend purchase of it.",4.0
299619,"POSH MOBILE TITAN PRO HD ANDROID GSM UNLOCKED DUAL SIM 5.5"" HD SMARTPHONE EXTRA-large HD display, 13MP Camera and 8GB of Storage. 1 Year warranty. (Model#: E550 WHITE)",Posh Mobile,97.99,5,"What a fantastic phone! If you have AT&T and got sucked into their ""Next"" program, where you pay $30 a month for two years for an upgrade phone, on top of the $200 or so bucks you already pay each month for service, you'll appreciate this phone! I fell for AT&T's ""Next"" crap about a year ago for my son's Samsung Galaxy 6 and by the time I'm done will have paid almost $800 in addition to the almost $5,000($200 a month) for cell phone service! This phone I got for myself is faster, more sleek, and has a newer Android version then the Galaxy 6 of my son's that I'm still paying on for the next year! The ""Next"" phone that my son gets will be a POSH and I won't have to pay an additional $30 a month to my bill!",0.0
147502,BLU Studio C 5+5 Smartphone with Lollipop OS- US GSM Unlocked - Gold,BLU,249.99,1,to many problems from the beginning . Not what i was expecting with all theglorifying they said about it.,1.0
151626,BLU Studio C Super Camera -Unlocked Smartphone - US GSM- Pink,BLU,99.96,5,Excelente,0.0
316989,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Black)",Samsung,168.99,5,It is a great cheap phone.,0.0
192753,HTC One M7 32GB GSM Unlocked 4G LTE Android Smartphone - Black,HTC,249.99,1,Horrible quality. It was used condition as it but that wasn't the problem. The power button was jammed in so i had to press in super hard for it to turn on/unlock. The camera/camera flash is broken. And the audio mic was broken as well so my caller could not hear me speaking into it. Very unsatisfied. I have bought used phones before but this was by far the worst. I just feel like they try to give you the lowest quality possible then if ur unsatisfied there give you a better version. Going to return asap to get my money back.,0.0
122377,BLU Jenny TV 2.8 T276T Unlocked GSM Dual-SIM Cell Phone w/ 1.3MP Camera - Unlocked Cell Phones - Retail Packaging - Black Red,BLU,20.99,5,Works very well.,0.0
319079,Samsung Galaxy J7 J700M 16GB Unlocked GSM 4G LTE Quad-Core Android Lollipop Smartphone w/ 13MP Camera - Black (International Version),Samsung,238.99,4,Its my first choice and I can use it in India I like to give 4 star,7.0
9290,Apple iPhone 4 32GB (White) - Verizon,Apple,115.0,3,"3 stars because it's use, but that what I expected",0.0
15815,Apple iPhone 4S 64GB (White) - Factory Unlocked,Apple,234.19,5,Very good,0.0
318485,Samsung Galaxy J7 J700M 16GB Dual Sim LTE Unlocked Phone - Retail Packaging - White (International Version),Samsung,227.14,5,"Before buying this phone, I bought and returned 2 other phones: ZTE and Honor 5x. This one, the J7, is a keeper. I can't see anything negative about it so far.Appearance: looks great, perfect 5.5"" basic HD display. Because it's plastic rather than metal, it's not heavy. It's very slim so can fit nicely in your pocket or small handbag.Performance: finally a phone that pairs and keeps Bluetooth connection, rather than drops it after 10 minutes (which plagues many Android 5.1 devices). Reception seems fine, not better or worse than other phones, my signal showing around -73, the same as other phones. Call quality was perfect, clear, loud on speakerphone, and the other party had no difficulty hearing me either. It has been documented that plastic phones are better than metal when it comes to signal. As I look for a phone that works well as a ""phone"" rather than everything but, signal and call quality are super important to me.Camera: can't go wrong with 13 mp back camera. Clear, sharp photos that you can edit with the help of many photo apps out there. And because of the nice, crisp screen, your photos look good.Battery: 3000 mAh seem to last forever. It comsumes Zero power at night on standby. Charged it to 100% before going to bed and in the morning it's still 100%.I like the fact that is has a micro sim (2 slots) rather than the invisible nano, which I will probably lose within 2 seconds of handling it never to be found. Huge expansion storage on micro sd card, which cleverly slides on top of sim 1 to save space.My phone was purchased ""used, like new"" from JP Mobiles, arrived very fast, as new looking as can be. It was a little over $200, which is great price for a fantastic phone, when you think that people shell out a thousand bucks for a phone that may not be any better than this one.",18.0
38244,"Apple iPhone 5c AT&T Cellphone, 16GB, Blue",Apple,124.0,4,Phone worked perfectly with minimal scratches. Very Satisfied.,0.0
178330,CNPGD Watch Cell Phone Mobile Touch Screen Mp3 Mp4 Fm Radio (Black/Gold),CNPGD,29.99,1,"works good but keep cutting out ,keep turning it back on , will return number are small and a bit bulky",2.0
85837,Blackberry 9530 Storm Unlocked For Any GSM Carrier Worldwide,BlackBerry,131.59,2,"I acquired two devices and I am trying the reversal of my purchase, therefore exactly estao with a problem of pueira inside of the viewfinder and this goes to generate me a cost to arrange, and if the reversal this resource was carried through would go to be used fixes for it of the same. There I am I wait in it of the reversal to give sequencia I fix in it and to be able to use the product that I acquired.",0.0
321554,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White (Certified Refurbished),Samsung,,4,I like this phone. It is a big phone but that is what I wanted. Wish it had more RAM (operations can be sluggish) and a better camera.,0.0
195748,"HTC ONE M9 32GB Unlocked GSM 20MP Camera Smartphone, Gunmetal Grey",HTC,345.0,5,I bought this phone for Mt husband and he's very happy with it. Great phone and fast shipping,0.0
28122,Apple iPhone 5c 32GB - Unlocked - (Green),Apple,224.77,5,MARVELLOUS PHONE,0.0
391195,Sony Xperia T2 Ultra D5303 8GB White LTE Unlocked Smartphone - International Version No Warranty,Sony,436.25,5,I just want to give 100 stars to Abe He is the one who helped me with every concern I had and He just rocks he took the time to answer every question it was like I was talking to him in person . You can trust Wireless Hub They do stand by what they sell and I received a Brand New phone which rocks this phone is Awesome and so is Abe at Wireless Hub thank you for all you help,5.0
330747,Samsung Galaxy Note I717 16GB 4G LTE GSM Android Phone - Carbon Blue (AT&T version),Samsung,119.5,1,"Buyer beware. Of course being locked to all appearances I sent it back. Amazon was helpful in providing the return lable. People who want unlocked phones they could travel with would be sorely disappointed with this. Of course at $285 it might be worth paying a professional to unlock the phone as to carrier and region, but not to me.",1.0
331469,Samsung Galaxy Note II N7100 16GB Gray-Unlocked International Phone,,116.99,5,This tablet is the boss! I purchased this for a boss (hubby) and he loves it! It is very sleek and contemporary!,1.0
103278,BLU Advance 4.0L Unlocked Smartphone -Global GSM - Blue,BLU,149.99,5,Great,0.0
347595,"Samsung Galaxy S4, White (Verizon Wireless) Certified Pre-owned",Samsung,159.95,4,I am LOVING this phone! I cannot believe it's pre-owned!,0.0
10380,Apple iPhone 4 A1332 32GB Black (GSM Unlocked),Apple,75.0,5,very good a excelent service very conditions una manera muy segura para este tipo de mercadeo lo seguire usando desde venezuela,0.0
317588,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (White)",Samsung,166.0,5,Phone arrived earlier then expected. works like a charm. Perfect size and exactly what i wanted,0.0
54069,Apple iPhone 6 64GB Space Gray - (Verizon Wireless),,150.0,5,"I have nothing but good to say about this product, it looks brand new and works great. All I did was put the sim in and it worked, I am very impressed with cellcow and hope that this review was helpful.",3.0
285600,Otterbox Otterbox Defender Carrying Case for Samsung Galaxy S4 - Retail Packaging - Eden,OtterBox,14.99,5,"Previously had a life glove on my s4, and wanted something not so bulky. This is perfect! Fits better in my pocket, looks way smaller, but still has my phone super protected! Very happy with the purchase! 😆",0.0
397254,Sony Xperia Z5 Compact E5823 2GB/32GB 23MP 4.6-inch 4G LTE Factory Unlocked (BLACK) - International Stock No Warranty,Sony,467.73,1,"The phone is good, stable, small. But when my phone cracked, Sony was really competing with five-ply-a$$wipe on the scale of efficient and successful support. Seriously. If you ever expect that you'll need to call Sony to fix something that might have gone wrong, just get a different device and don't look back.",0.0
127539,BLU Life Pure Unlocked Phone (Black),BLU,150.0,2,"I am editing my review. At first I gave a glowing review after only using this phone for one week. However, not even a month into using this phone the GPS quit. I was completely lost and went an hour out of my way. If I were by myself it would be not that much of a big deal. However I had my infant son in the car. Then the phone started making selections on it's own and acting improperly. I am returning it and getting my full refund. This phone LOOKS pretty, but becomes useless after a mere 2 weeks. Paperweight.",1.0
102400,Blackberry Z10 16GB OS 10 GSM Unlocked Smartphone - Black,BlackBerry,75.65,5,good,0.0
356799,"Samsung Galaxy S5 SM-G900A GSM Unlocked Cellphone, 16GB, Blue",samsung,172.0,5,Everything was perfect!,0.0
64747,"Apple iPhone 6, Space Gray, 64 GB (T-Mobile)",,548.95,5,Great phone!! Awesome Seller,0.0
275423,Nokia Lumia 920 RM-820 32GB GSM 4G LTE Windows 8 OS Smartphone - White - AT&T - No Warranty,Nokia,99.99,5,"Bought it as used item and its still working to this day and i have the latest update ""cyan"" everything is working fine camera is great and so does the battery life.",0.0
108214,Blu Dash 5.5 Unlocked (White),BLU,130.0,5,"GREAT PHONE AT THIS PRICE!!! Hate to see all the whining about little stuff as this is a big wonderful phone for the price. I haven't had any problems and love the big screen. The whiners spend $1oo and think they should get a $500/$600 Iphone. If they want an I phone, they should go spend the $500. This phone has a good processor, Android Kit Kat and GREAT reception, even better than my wife's Galaxy 4 which she spent a lot for. I read news articles, browse my pictures on the large screen and take videos of my horses. I post pics to Facebook all the time and regularly get my notices from Facebook as well. I check into Twitter and easily read the posts. Instagram works great on this phone too with the big screen. Best $100 I've spent in a long time. Love that I don't need a magnifying glass to read texts.",23.0
273684,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,Nokia,99.99,1,"We purchased this phone in May 2013 (Nokia Lumia 920 Black Factory Unlocked 32GB phone 4G LTE 800 / 900 / 1800 / 2100 / 2600 - RM-821, Sold by WorldWide Distributors in Amazon.com). The phone stopped working September 2013 with the infamous ""spinning gears"" problems. We try sending it to Nokia for repair, but after providing Nokia the Serial number (IMEI) we have been told that the phone is ""Out of warranty in the US"". We now have a bricked phone, no warranting, no recourse.",13.0
207408,Kyocera Hydro C5170 PrePaid - Boost Mobile,,27.47,5,Friend ordered this under my account. received the phone right on time. Box was intact. Phone worked great for him:) thanks and keep up the good work with ur website as a whole!:),0.0
279147,"Oneplus One White 64gb ROM FDD LTE 4g Mobile Phone 5.5"" 1080p Snapdragon 801 3gb RAM Android 4.4 NFC Cyanogenmod Cm11s -White",,139.99,1,"Product stopped connecting to the mobile network on May 28th. Contacted two ATT stores, they had no clue. Phone still works, including WIFI, however with the network, it is pretty useless.",0.0
44343,Apple iPhone 5s 32GB (Silver) - AT&T,Apple,43.95,5,"It's a very good iPhone ,thanks",1.0
6699,"Apple Iphone 4 - 8gb Sprint (CDMA) White, Smartphone, in box with all the accessories, clean esn!!",,,5,It came like brand new from the store! My daughter was sooo excited. I would of never expected it to be in perfect condition and so easy to set up :),0.0
221529,"LG G3 D855 Unlocked Cellphone, International Version, 32GB, Black",,218.88,5,"I love it, exceed my expectations.The battery is good but could be better.No complains at all",1.0
97960,BlackBerry Priv STV100-1 32GB 4G LTE Unlocked Slider Android Smartphone - Black,BlackBerry,449.99,1,"I nearly never write the product review, because I always think products on Amazon are really fine, but I have to say something about this product. I bought this product out of the admiration of BlackBerry. And it just broken less a month. I just turn on Youtube on this phone and it just stuck, the screen didn't react to anything, and I can't shut it down or reboot. What's more, I have an alarm clock set before, and it's now just make noise loudly and I have no idea to do with it, the screen just do not react to anything. I admit it's a mistake to choose BlackBerry and now I become a JOKE.",5.0
184166,GreatCall Jitterbug Plus Senior Cell Phone with 1-Touch Operator Access (Silver),GreatCall,129.99,5,Great product. Easy to use and meets all my cell phone needs and expectations. Customer Service is great and contacts are friendly and helpful.,2.0
176412,CNPGD All-in-1 Watch Cell Phone & Smart Watch Sync to Android IOS Smart Phone (Silver),,59.99,3,"Ok i got it today, but i have a worry, my question is , is it open for any sim card from any country? Coz i want to send it to cameroon to a cousin. Please let me knowso i can order more",0.0
191848,HTC MyTouch 4g Android Unlocked Phone (Black),htc,51.97,4,It came right on time. It is pretty scratched up but nothing you can't hide under a case. It works fine.,0.0
375423,"Samsung Galaxy S7 Unlocked PhoneDual Sim Factory 32 GB Internationally Sourced (Middle East/Afican/Asia) Version G930FD,(Titanium Silver)",Samsung,679.99,5,Yes,0.0
363476,Samsung Galaxy S6 Edge Plus SM-G928C 32GB Factory Unlocked - Silver,samsung,650.0,5,Excellent,0.0
57885,Apple iPhone 6 Plus 64GB Unlocked Smartphone - Silver (Certified Refurbished),,529.99,5,Arrived in a brand new Apple box never opened. Phone is working well so far!,2.0
327949,Samsung Galaxy Note 4 N910V - 32GB - Verizon + GSM - White (Certified Refurbished),Samsung,,5,"Excellent! Although a little slow to arrive, the phone is new with very minor external flaws that the case covers. Operation is perfect and a real dollar value. Thank you.",1.0
92872,"Blackberry Curve 8520 Unlocked Quad-Band GSM Phone with 2MP Camera, QWERTY Keyboard, Wi-Fi and Bluetooth - Lavender",BlackBerry,39.99,4,excellent taste but I could be more lasting battery,0.0
10298,"Apple iPhone 4 8GB, White, for Straight Talk, No Contract",Apple,72.99,3,"Decent but there are some serious errors in its shippment and description. pros: no damage, came in box (sealed) , with charger and headphones. cons: its meant to be used for a verizon phone only, and cannot be converted to straight talk (regular sim card slots were not built in), and it came with no phone card like promised and described. overall: good phone and i like it, but it simply wasnt what i ordered! blame: the sellers of the phone (ship fast tech llc) who did not deliver what they promised in their ad, used false advertising, and have not altered it even after similiar or more critical reviews refered to the straight talk dilemma. if u want striaght talk, dotn buy this, if you dotn care and just want an iphone 4, go ahead, but watch out, you might not be a lucky as me.",12.0
217137,"LG G2 Mini D620R Unlocked Cellphone, International Version, 8GB, Black",LG,199.0,5,"Great seller, everything ok. Thanks.",0.0
100038,BlackBerry Storm 2 9550 Unlocked Phone - No Warranty,BlackBerry,79.99,3,"So I first received my phone in February and all was fine except for missing add-ons (memory card, headphones, manuals, etc.)but the seller stated that those items do not come with it if it is purchased USED...while I did not agree with the notion, I accepted it. But now after two and a half months, my phone no longer works.Please be careful when buying used items...now what do I do?The phone is a good purchase but did not last long enough to be enjoyed...",
131574,BLU PURE XL Smartphone - 4G LTE GSM Unlocked - 64GB +3GB RAM - Grey,BLU,129.99,5,"This phone is amazing, especially for the price. It's snappy, crystal clear. The pictures are very high quality. The screen size is perfect, at least for me. Not too big, not too small.The fingerprint sensor wasn't working well at first, but that might just be personal experience.The gold colour looks very nice, it doesn't look cheap. The edges are a little.... Sharp. But you may become used to it.The clear gel case is nice, I use it. I don't use the other case, though it is very nice. The rounded back makes it hard to use smart cover cases.",1.0
175227,CNPGD All-in-1 Watch Cell Phone & Smart Watch Sync to Android IOS Smart Phone (Gold),CNPGD,59.99,4,came fast works perfect for the price you cant beat it,0.0
34983,Apple iPhone 5c 8GB (Yellow) - Verizon Wireless,Apple,179.99,5,"This was the best buy for my situation, did not want to give my current phone carrier. They were able to activate this iphone with no problems. thank you.",
138636,"BLU Studio 5.0 C HD Unlocked Cellphone, White",BLU,2000.0,5,fine,0.0
169257,"CNPGD [U.S. Office Extended Warranty] Weatherproof Smartwatch Touchscreen for iPhone Android Samsung Galaxy Note,Nexus,htc,Sony Black",CNPGD,29.99,5,I use this as my daily now it fooled my friends into thinking it was a Apple but it works great had to use a different BT notifier app,1.0
125443,BLU Life 8 XL Smartphone - Unlocked - Global GSM - Pink,BLU,2000.0,5,Excellent,0.0
221584,"LG G3 D855 Unlocked Cellphone, International Version, 32GB, Black",,218.88,5,it's my :D,0.0
170305,CNPGD [U.S. Warranty] All-in-1 Smartwatch and Watch Cell Phone Gold,CNPGD,49.99,5,"What? A cellphone inside a watch? I thought. But wow, this is a great watch. Every feature that is claimed on the Amazon product description page works. Everything for forty bucks. It does not come across as a cheap watch. You do not even have to connect to a Bluetooth headphone. The built in speaker is loud enough to hear the person talking on the other line. The USB charger has a jack that is different from a universal mini USB. You cannot swap your other USB charger with this charger because the pin is very small in this device and it's charger and headphones are usable only in this device. Overall very good.",0.0
315400,Samsung Galaxy i537 S4 Active Unlocked Smart Phone - Urban Gray (No Warranty),Samsung,159.99,1,This phone cost me $225. It arrived on time. But it came damage. Speaker don't work. Had to talk extra loud for someone to hear me. Option button had to be pushed many times before options pop up. Screen rotation don't work at all. Even watch videos. Head phone jack half work. Had to reset phone to get it to work again. Not to happy at all. Glad it wasn't a gift I was gone give someone.,2.0
383797,Samsung SCH-i545 - Galaxy S4 16GB Android Smartphone - Verizon + GSM - Blue (Certified Refurbished),,569.98,5,My daughter love it she very happy with her new phone,0.0
227664,"LG H955 Unlocked G Flex 2 Cell Phone, 16 GB Internal Memory (Black)",LG,249.99,5,Really good phone!The Shipment was very fast!Tnx !!,0.0
49035,"Apple iPhone 5s AT&T Cellphone, 16GB, Silver",Apple,139.95,5,"This item came very fast. I was disappointed when they told me it will arrive in a week, but so happy and overwhelmed when it arrived in two days without PRIME connection. The iPhone works perfectly and don't regret purchasing. Best thing I've bought!",1.0
108926,BLU Dash C Music-US GSM - Unlocked Cell Phone (White/Gold),BLU,54.99,3,Not bad for the price but it broke after 2 months,0.0
74109,Apple iPhone 7 Unlocked Phone 32 GB - US Version (Silver),Apple,698.45,5,"Excellent, thank you very much.",0.0
352578,Samsung Galaxy S5 Mini G800h 16gb Hspa+ Unlocked GSM Phone - Blue,Samsung,2000.0,5,Everything ok.On time!,0.0
99429,Blackberry Q5 SQR100-2 8GB Unlocked GSM 4G LTE Dual-Core OS 10.2 Smartphone - Red,,160.0,5,"Very good phone. The new OS works great, too bad it came too late. If you like blackberries this is a good upgrade for the old handsets.",2.0
119801,BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- US GSM Unlocked - Grey,BLU,139.0,5,Price / quality is great,0.0
137981,"BLU Studio 5.0 C HD Unlocked Cellphone, Black",BLU,173.44,5,"using this phone for several months now, great price, features, no issues, get it.",
224454,"LG G4 Unlocked Smartphone with 32GB Internal Memory, 16 MP Camera and 5.5-Inch IPS Quantum Display for GSM and CDMA, US Warranty (Black Leather)",LG,324.84,5,"Yes, buying from Amazon.com, not any other supplier, my LG G4 arrives as it should be: intact, brand new, on time. No fault in my phone so far.But for the phone itself, watch my review on youtube.",5.0
95188,BlackBerry Curve 9300 3G Unlocked GSM Smartphone w/ 2MP Camera - Red,BlackBerry,59.99,1,muy bueno,0.0
54964,Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Cell Phone - Gold,,699.95,1,"I ordered for iphone 6 plus unlocked version. While trying to start the phone, I continue to receive the below message:Your iPhone could not be activated because the activation server is temporarily unavailable. Try connecting your iPhone to iTunes to activate it, or try again in a couple of minutes.If this problem persists, contact Apple Support at apple.com/support",0.0
172086,CNPGD [U.S. Warranty] All-in-1 Smartwatch and Watch Cell Phone Silver,CNPGD,49.99,5,Works great,0.0
330584,Samsung Galaxy Note I717 16GB 4G LTE GSM Android Phone - Carbon Blue (AT&T version),Samsung,119.5,5,"This phine i didnt use this yet i still waiting my sim,but how the look im sure i gonna love it,",0.0
213185,LG Electronics LG-D855-G3-32GB Unlocked Cell Phone - Retail Packaging - Black Gold - (International Version no warranty),LG Electronics,225.95,5,"Have it for 2 weeks by now, very strong device, good battery life, nice software. I am very happy with it. Although 5.5 inch is a little too large for me.",0.0
53552,"Apple iPhone 6 64GB Factory Unlocked GSM 4G LTE Smartphone, Silver (Certified Refurbished)",,390.37,1,"It appears that this product (which was VERY expensive) only has a one month warranty against failure. Based on the previous reviews from this company, I thought that would be sufficient but alias, I was wrong. My cell phone is basically useless (not working properly). I've taken it in to Apple and they can't do anything since we purchased it from a second party; we will have to pay them full price to get the phone into working order. I strongly suggest, if you are going to purchase APPLE electronics that you purchase them from APPLE. I won't purchase from this company again.",0.0
53916,Apple iPhone 6 64GB Space Gray - (Verizon Wireless),,150.0,5,Good,0.0
133575,BLU S480U Unlocked Studio 7.0 II Smartphone with 5MP Main Camera (Gold),BLU,,4,It's OK like it,0.0
241399,"Microsoft Nokia Lumia 640 LTE RM-1072 8GB 5"" Unlocked GSM Windows 8MP Camera Smartphone - Black - International Version No Warranty",Nokia,77.99,1,I can't activate the phone.where can I get activation code?,1.0
51017,"Apple iPhone 6 128GB Factory Unlocked GSM 4G LTE Smartphone, Gold (Certified Refurbished)",,428.13,1,"Phone had bugs, did not let me sign into my apple i.d",1.0
393022,"Sony Xperia Z Ultra C6833 Black (Factory Unlocked) LTE 800/850/900/1700/1800/1900/2100/2600 , 3G 850/1900/1700/900/2100 - International Version No Warranty",,450.83,5,"I have been using this cell phone a complete month. And I love it. I took pictures at the pool and the camera do a great job, is not an awesome camera but it takes good pics. One thing I really like about this Z Ultra is that this cellphone is a super-fast device, I can switch between games and social apps very quick. Also u can buy accessories to improve your experience with this phone .Something I don’t like is the 11 GB internal memory but I have 32 GB for pics, and with Spotify I don’t loose memory in my SD card.I recommend this product to anyone that likes bigger screens Hope this helps you.",1.0
13877,Apple iPhone 4S 32GB (Black) - AT&T,Apple,209.48,5,"I did something stupid with my iPhone and needed to order another one. I got one from Amazon's used selection figuring that a few scratches would just be a minor issue. What I received was a unit that looked like new. After updating the software, everything worked like a champ. And just like the one I destroyed, this one is a lot more useful than I ever thought it would be. From the mail application to the flashlight. From Maps to the phone. It's just a handy little device and unlike the Android devices, at least the ones I've seen, a lot more intuitive which is great for me since I don't like to read manuals :-).",19.0
250945,Motorola Moto E (1st Generation) - Black - 4 GB - Global GSM Unlocked Phone,Motorola,109.99,3,"I bought this phone to play Ingress because I was told the GPS was really impressive. It isn't, and worse, the phone isn't really powerful enough to play Ingress. It serves its purpose as a locked down phone for ops in low data areas, but that's it.",0.0
17312,"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,2,i was very disappointed. its advertised as certified refurbished but right out of the box the wifi did not work on the phone nor did the bluetooth. i looked up reasons why and i found that the wifi antenna is broken.. everything else works fine on it but after not having the availability to use the internet indoors in most cases and not being able listen to my music i'm already looking to buy a new phone.,2.0
223567,LG G4 H815 5.5-Inch Factory Unlocked Smartphone (Metallic Gold) - International Stock (No Warranty),LG,285.99,5,Love this phone!! Super easy to use and has a fantastic camera. I would recommend it to anyone.,0.0
126929,"BLU Life One Unlocked Dual Sim Phone L120, 16 GB, White",BLU,120.0,4,ok,0.0
363510,Samsung Galaxy S6 Edge Plus SM-G928C 32GB Factory Unlocked - Silver,samsung,650.0,5,My boyfriend bought th is phone for me as a Christmas gift and I loved it. When I saw it on here I knew I had to get him one. It arrived VERY quick and AT&T in the USA had no problem adding it! I'm so happy I got this phone for him he loves it.,0.0
385685,Samsung U380 Brightside 3G Verizon CDMA Smartphone - Black,Samsung,189.99,5,The phone was everything the seller said it would be. What I liked the most is you dont have to use a data plan with verizon. You just switch it over from your old phone.,0.0
355682,"Samsung Galaxy S5 SM-G900A GSM Unlocked Cellphone, 16GB, Black",Samsung,234.0,4,The AT&T version of the phone is not the same as the T-Mobile.1. There is no wi-fi calling feature when you switch the phone over to a different carrier.2. When at full volume the speaker kind of sounds choppy. There indeed is a tick sound when playing music.3. It really isn't a bad phone and you do get what you pay for.4. It indeed is unlocked I tried all different kinds of networks and I even went over seas and the phone is unlocked to any carrier or network.,2.0
162886,"BLU WIN HD LTE - 5.0"" Windows Smartphone -GSM Unlocked - Grey",BLU,99.89,2,coud not receive/send MMS. called carrier seversl times. no luck.,0.0
154540,BLU Studio Selfie - Smartphone - GSM Unlocked - Grey,BLU,2000.0,3,the earphone jack is wobbly and does not stay in place rendering it useless. phone itself is ok.,1.0
391171,"Sony Xperia Sp C5303 Black (Factory Unlocked) 4.6"" Hd,8 Mp, 1.7ghz Dual Core S4 Fast Shipping All the World By Fedex",sony,159.99,4,I like my phone It's really useful.it's rare and unique in its kind.so great for me actually .,0.0
